N,X,Y
1196,2309424.50000,5084041.00000
1197,2309513.00000,5083964.50000
1198,2309852.25000,5085020.00000
1199,2309758.50000,5084716.00000
1200,2309609.50000,5084423.00000
1201,2308803.00000,5083658.00000
1202,2308752.75000,5083367.50000
1203,2308859.00000,5083474.50000
1204,2308936.75000,5083669.50000
1205,2308723.50000,5083479.00000
1206,2308162.75000,5082756.50000
1207,2311994.50000,5083697.50000
1208,2310939.25000,5084815.50000
1209,2310879.00000,5084770.00000
1210,2309334.50000,5087012.00000
1211,2310301.75000,5085680.00000
1212,2310168.75000,5085892.50000
1213,2309810.25000,5086510.00000
1214,2310458.75000,5085520.00000
1215,2312512.25000,5087690.50000
1216,2310622.75000,5085869.00000
1217,2310771.00000,5085884.50000
1218,2310690.00000,5085773.00000
1219,2310681.25000,5085304.50000
1220,2310674.00000,5085175.00000
1221,2310802.50000,5085176.00000
1222,2310789.00000,5085199.00000
1223,2310927.75000,5085404.50000
1224,2310875.75000,5085085.00000
1225,2311121.50000,5085192.50000
1226,2311209.75000,5085238.00000
1227,2311282.25000,5085308.00000
1228,2311352.25000,5085393.50000
1229,2310960.50000,5085549.50000
1230,2311080.00000,5085590.50000
1231,2311285.25000,5085610.00000
1232,2312413.75000,5085629.50000
1233,2310990.25000,5089244.00000
1234,2310094.75000,5091466.00000
1235,2311466.00000,5089804.00000
1236,2311856.50000,5089322.50000
1237,2310711.50000,5091645.00000
1238,2310243.75000,5084843.00000
1239,2310203.75000,5084860.50000
1240,2310189.00000,5084813.50000
1241,2310360.25000,5084824.50000
1242,2310894.25000,5085071.00000
1243,2312408.00000,5085284.50000
1244,2311971.00000,5084568.50000
1245,2312802.25000,5085664.50000
1246,2313470.25000,5086466.00000
1247,2311169.50000,5084738.50000
1248,2311518.50000,5085604.00000
1249,2311513.25000,5085621.50000
1250,2310941.75000,5085220.00000
1251,2311075.75000,5085285.50000
1252,2310644.75000,5085368.50000
1253,2310462.50000,5085051.50000
1254,2310508.25000,5085080.50000
1255,2310569.75000,5085301.00000
1256,2309816.00000,5086537.50000
1257,2310321.25000,5085127.50000
1258,2309776.50000,5086543.50000
1259,2308906.25000,5083696.50000
1260,2312433.75000,5088797.50000
1261,2312557.00000,5091744.50000
1262,2310215.50000,5091533.50000
1263,2313236.50000,5086693.00000
1264,2314151.50000,5087060.00000
1265,2307217.50000,5083649.00000
1266,2307624.50000,5087227.00000
1267,2311332.00000,5084167.00000
1268,2310287.50000,5083089.50000
1269,2311383.75000,5085435.00000
1270,2311571.00000,5085098.50000
1271,2307994.00000,5082986.00000
1272,2308228.50000,5082824.50000
1273,2312586.75000,5089999.00000
1274,2311134.75000,5084923.50000
1275,2311115.75000,5084916.50000
1276,2311213.50000,5084738.50000
1277,2310960.75000,5084918.00000
1278,2308741.50000,5083631.50000
1279,2310092.00000,5084278.00000
1280,2310081.00000,5083945.50000
1281,2310414.50000,5084632.00000
1282,2310293.00000,5084149.50000
1283,2310420.35000,5085594.80000
1284,2311424.62500,5085039.00000
1285,2311147.75000,5088893.50000
1286,2311147.24750,5089428.80000
1287,2311094.95000,5090508.60000
1288,2310622.15000,5085050.01500
1289,2310688.46250,5084989.63750
1290,2311674.25000,5085684.00000
1291,2309268.87500,5083226.00000
1292,2310397.68250,5086310.62125
1293,2311679.12500,5082713.50000
1294,2310851.60000,5083807.70000
1295,2310847.87500,5083591.00000
1296,2310624.16000,5083991.86000
1297,2308567.62500,5083526.50000
1298,2307372.14000,5083317.64000
1299,2307369.39110,5083318.07860
1300,2307691.37500,5083257.00000
1301,2307685.86250,5083258.85000
1302,2309413.25000,5083063.75000
1303,2309414.81250,5083075.96250
1304,2310554.87000,5083470.90000
1305,2310511.90250,5083474.30000
1306,2310160.22500,5083450.30000
1307,2310159.05250,5083450.12000
1308,2309311.12500,5083929.00000
1309,2309305.45625,5083923.40000
1310,2309381.75000,5083802.25000
1311,2309372.61250,5083800.76250
1312,2309684.12500,5083833.50000
1313,2309696.08750,5083833.65000
1314,2309718.75000,5083925.75000
1315,2309723.00000,5083921.21250
1316,2310152.80000,5083877.30000
1317,2310138.07000,5083873.72000
1318,2310506.32000,5083963.22000
1319,2310470.96800,5083954.62800
1320,2310205.50000,5083974.75000
1321,2310211.72500,5083976.21250
1322,2309948.92500,5084455.83000
1323,2309946.53250,5084465.69700
1324,2310608.50000,5084511.00000
1325,2310620.40000,5084524.15000
1326,2310361.35000,5084782.85000
1327,2310518.55500,5084838.23000
1328,2310516.62450,5084843.80700
1329,2310699.75000,5084939.50000
1330,2310700.82500,5084934.72500
1331,2310698.67500,5084944.27500
1332,2310566.05000,5085065.03000
1333,2310560.27000,5085066.57700
1334,2310857.75000,5085005.25000
1335,2310848.40000,5085014.00500
1336,2310602.66250,5085331.45000
1337,2310420.20120,5083942.23803
1338,2311397.23875,5085304.32000
1339,2310432.52392,5083944.80931
1340,2311399.97737,5085277.78800
1341,2311941.75000,5085596.75000
1342,2311954.92500,5085581.92500
1343,2310202.50000,5086386.75000
1344,2310241.15000,5086371.67500
1345,2310554.21500,5086249.56750
1346,2310853.55000,5087323.50000
1347,2310875.28500,5087386.32500
1348,2310590.50000,5088887.25000
1349,2310569.66250,5088871.26250
1350,2312267.25000,5088900.75000
1351,2312265.63750,5088839.73750
1352,2311661.25000,5089563.25000
1353,2311680.77500,5089539.17500
1354,2311821.06250,5089301.05000
1355,2311800.86313,5089288.82350
1356,2311578.80466,5089154.41351
1357,2311535.69920,5089128.32216
1358,2311719.12500,5090163.00000
1359,2311751.35625,5090156.25000
1360,2312057.55313,5090092.12500
1361,2312072.86297,5090088.91875
