id,A,B,length,freespeed,capacity
646,1184,1031,150,8.333,660
647,1184,1053,140,8.333,660
648,1185,1033,83,12.500,960
649,1185,1034,119,12.500,960
650,1185,1036,105,6.944,360
651,1186,1131,72,9.722,600
652,1186,1187,152,12.500,1980
653,1186,1289,44,12.500,960
654,1187,1242,76,12.500,960
655,1187,1335,26,12.500,960
656,1188,1107,69,6.944,600
657,1188,1277,97,12.500,960
658,1188,1334,38,12.500,960
659,1189,1035,106,12.500,960
660,1189,1109,108,6.944,600
661,1189,1190,79,12.500,960
662,1190,1045,27,8.333,660
663,1190,1189,79,12.500,960
664,1190,1247,24,12.500,960
665,1191,1040,551,8.333,660
666,1191,1192,140,8.333,660
667,1192,1041,75,12.500,960
668,1192,1043,216,12.500,960
669,1192,1191,140,8.333,660
670,1193,1044,508,12.500,1500
671,1193,1046,128,12.500,960
672,1193,1103,537,12.500,1500
673,1193,1244,171,15.278,1080
674,1194,1032,105,12.500,960
675,1194,1051,82,15.278,1260
676,1194,1060,202,12.500,1500
677,1194,1317,143,12.500,1500
678,1195,1055,60,12.500,1500
679,1195,1090,172,12.500,1500
680,1196,1059,153,12.500,960
681,1196,1197,132,8.333,660
682,1196,1308,160,12.500,960
683,1197,1012,100,12.500,4980
684,1197,1058,132,8.333,660
685,1197,1196,132,8.333,660
686,1198,1068,97,9.722,600
687,1198,1069,93,9.722,600
688,1199,1066,65,5.556,480
689,1199,1073,372,8.333,480
690,1200,1011,100,12.500,9000
691,1200,1073,214,8.333,660
692,1200,1074,58,8.333,660
693,1200,1075,434,8.333,660
694,1201,1204,136,8.333,660
695,1201,1259,111,12.500,960
696,1201,1278,67,12.500,960
697,1202,1086,307,12.500,1500
698,1202,1092,146,11.111,780
699,1202,1203,151,12.500,1500
700,1202,1205,120,8.333,660
701,1203,1090,226,12.500,1500
702,1203,1091,99,8.333,660
703,1203,1202,151,12.500,1500
704,1204,1089,70,8.333,660
705,1204,1091,183,8.333,660
706,1204,1259,52,8.333,660
707,1205,1091,105,8.333,660
708,1205,1092,132,8.333,660
709,1205,1093,131,8.333,660
710,1206,1272,95,12.500,1500
711,1207,1049,455,11.111,780
712,1208,1035,94,12.500,960
713,1208,1107,142,6.944,600
714,1208,1109,120,6.944,600
715,1208,1209,76,12.500,960
716,1209,1036,57,12.500,960
717,1209,1106,141,6.944,600
718,1209,1108,129,6.944,600
719,1209,1208,76,12.500,960
720,1210,1114,187,12.500,1200
721,1211,1117,320,9.722,600
722,1211,1122,68,9.722,600
723,1211,1212,251,6.944,600
724,1212,1121,93,6.944,600
725,1212,1211,251,6.944,600
726,1213,1120,172,12.500,960
727,1213,1256,28,12.500,960
728,1214,1171,215,12.500,960
729,1214,1283,84,12.500,960
730,1215,1151,844,12.500,1200
731,1215,1263,1257,22.222,1380
732,1216,1124,129,12.500,960
733,1216,1125,260,8.333,480
734,1217,1127,202,15.278,1080
735,1217,1218,138,6.944,600
736,1218,1216,117,12.500,960
737,1218,1217,138,6.944,600
738,1219,1252,74,12.500,1560
739,1220,1219,131,9.722,600
740,1221,1220,129,8.333,480
741,1221,1222,27,8.333,480
742,1222,1133,110,8.333,660
743,1222,1219,151,8.333,480
744,1223,1130,116,12.500,960
745,1223,1133,160,8.333,660
746,1223,1134,121,12.500,960
747,1224,1004,60,12.500,9480
748,1224,1161,49,12.500,960
749,1224,1250,152,12.500,960
750,1225,1226,99,12.500,960
751,1225,1242,258,12.500,960
752,1225,1251,103,8.333,660
753,1226,1136,162,8.333,660
754,1226,1225,99,12.500,960
755,1226,1227,103,12.500,960
756,1227,1137,137,8.333,660
757,1227,1226,103,12.500,960
758,1227,1228,110,12.500,960
759,1228,1227,110,12.500,960
760,1228,1231,227,8.333,660
761,1228,1269,52,12.500,960
762,1229,1130,56,12.500,960
763,1229,1135,231,8.333,660
764,1229,1230,127,12.500,960
765,1230,1136,214,8.333,660
766,1230,1138,106,12.500,960
767,1230,1229,127,12.500,960
768,1231,1138,100,12.500,960
769,1231,1228,227,8.333,660
770,1231,1249,228,12.500,960
771,1232,1141,386,12.500,960
772,1232,1245,390,12.500,960
773,1233,1148,41,12.500,960
774,1233,1150,1163,12.500,960
775,1233,1286,288,11.111,780
776,1234,1150,1380,12.500,960
777,1235,1153,125,11.111,600
778,1235,1286,576,11.111,780
779,1235,1352,347,8.333,660
780,1236,1152,422,8.333,660
781,1236,1353,302,8.333,660
782,1236,1354,80,8.333,660
783,1237,1260,3599,27.778,5400
784,1238,1183,17,5.556,300
785,1238,1240,62,5.556,300
786,1239,1183,35,5.556,300
787,1240,1178,21,5.556,300
788,1240,1238,62,5.556,300
789,1240,1239,50,5.556,300
790,1241,1013,46,12.500,1980
791,1242,1224,25,12.500,960
792,1242,1225,258,12.500,960
793,1243,1103,352,12.500,1500
794,1243,1245,548,12.500,1500
795,1244,1193,171,15.278,1080
796,1245,1232,390,12.500,960
797,1245,1243,548,12.500,1500
798,1245,1246,1047,12.500,1500
799,1246,1245,1047,12.500,1500
800,1246,1263,326,22.222,1380
801,1246,1264,904,12.500,1500
802,1247,1045,17,8.333,660
803,1247,1190,24,12.500,960
804,1247,1276,44,12.500,960
805,1248,1139,27,12.500,960
806,1248,1269,216,12.500,960
807,1249,1139,25,12.500,1200
808,1249,1231,228,12.500,960
809,1249,1248,18,12.500,960
810,1250,1134,66,12.500,960
811,1250,1224,152,12.500,960
812,1250,1251,149,8.333,660
813,1251,1135,58,8.333,660
814,1251,1225,103,8.333,660
815,1252,1128,22,12.500,960
816,1252,1336,53,12.500,1980
817,1253,1020,23,12.500,960
818,1253,1254,54,12.500,960
819,1254,1333,50,12.500,1980
820,1255,1019,217,12.500,1980
821,1256,1213,28,12.500,960
822,1256,1258,40,12.500,960
823,1256,1343,415,15.278,1260
824,1257,1018,219,6.944,360
825,1257,1168,72,8.333,480
826,1258,1114,458,12.500,1200
827,1258,1213,47,12.500,960
828,1258,1256,40,12.500,960
829,1259,1088,119,12.500,960
830,1259,1201,111,12.500,960
831,1259,1204,52,8.333,660
832,1260,1237,3599,27.778,5400
833,1261,1158,42,12.500,1200
834,1262,1157,1184,11.111,780
835,1263,1142,1138,12.500,1200
836,1263,1215,1257,22.222,1380
837,1263,1246,326,22.222,1380
838,1263,1264,1011,19.444,960
839,1264,1246,904,12.500,1500
840,1264,1263,1011,19.444,960
841,1265,1160,561,9.722,780
842,1266,1112,140,13.889,780
843,1267,1042,313,12.500,1500
844,1267,1044,162,12.500,1500
845,1267,1167,161,11.111,960
846,1268,1052,385,15.278,1260
847,1268,1102,316,15.278,1260
848,1269,1228,52,12.500,960
849,1269,1248,216,12.500,960
850,1269,1338,105,12.500,960
851,1270,1145,404,12.500,960
852,1270,1284,316,12.500,960
853,1271,1085,224,12.500,960
854,1271,1099,232,12.500,960
855,1272,1086,448,12.500,1500
856,1272,1206,95,12.500,1500
857,1273,1155,225,19.444,960
858,1274,1143,154,12.500,960
859,1274,1275,20,12.500,960
860,1274,1276,201,8.333,660
861,1275,1035,111,12.500,960
862,1275,1274,20,12.500,960
863,1276,1144,47,12.500,960
864,1276,1247,44,12.500,960
865,1276,1274,201,8.333,660
866,1277,1035,68,12.500,960
867,1277,1188,97,12.500,960
868,1277,1275,155,8.333,480
869,1278,1091,97,8.333,660
870,1278,1093,78,12.500,960
871,1278,1201,67,12.500,960
872,1279,1029,162,12.500,960
873,1279,1030,97,12.500,960
874,1280,1010,50,12.500,7980
875,1280,1032,93,11.111,780
876,1280,1320,128,11.111,780
877,1281,1026,38,12.500,960
878,1281,1028,263,12.500,960
879,1282,1029,172,8.333,660
880,1282,1031,150,8.333,660
881,1283,1122,126,12.500,960
882,1283,1214,84,12.500,960
883,1284,1143,316,12.500,960
884,1284,1270,316,12.500,960
885,1284,1340,181,12.500,960
886,1285,1148,344,12.500,960
887,1285,1149,344,12.500,960
888,1285,1357,443,8.333,660
889,1286,1001,100,11.111,7500
890,1286,1233,288,11.111,780
891,1286,1235,576,11.111,780
892,1287,1002,70,8.333,4500
893,1287,1153,692,8.333,480
894,1287,1157,174,8.333,480
895,1288,1186,59,12.500,1980
896,1289,1003,88,12.500,3960
897,1289,1186,44,12.500,960
898,1289,1331,44,12.500,960
899,1290,1005,30,12.500,4380
900,1290,1139,150,12.500,1200
901,1290,1140,150,12.500,1200
902,1291,1101,194,11.111,780
903,1291,1165,194,11.111,780
904,1292,1344,159,15.278,1260
905,1292,1345,159,15.278,1260
906,1293,1050,1116,12.500,960
907,1293,1104,1116,12.500,960
908,1294,1041,208,8.333,660
909,1294,1042,208,8.333,660
910,1295,1006,100,12.500,3000
911,1295,1041,152,12.500,960
912,1295,1050,152,12.500,960
913,1296,1007,50,12.500,7680
914,1296,1043,122,12.500,1500
915,1296,1318,122,12.500,1500
